question_id,question,expected_paper_ids,top_1_paper,retrieved_paper_ids,hit_at_3,hit_at_5,hit_at_10,mrr,precision_at_3,recall_at_3,latency_seconds
Q001,What is the mathematical formula for Scaled Dot-Product Attention in the Transformer architecture?,P001,P001,"P001,P007",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.1289487999965786
Q002,"How does the Transformer compute Multi-Head Attention, and what is the dimension of each head when using 8 heads with d_model=512?",P001,P001,"P001,P007",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.06840609999926528
Q003,What are the two pre-training objectives used in BERT to learn bidirectional representations?,P002,P002,P002,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.06384510000498267
Q004,"What percentage of tokens are masked in BERT's Masked Language Model (MLM), and how are the chosen tokens replaced?",P002,P002,"P002,P006",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07221399999980349
Q005,What is the difference between RAG-Sequence and RAG-Token models in the original Retrieval-Augmented Generation paper?,P003,P003,"P003,P012,P002",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0645825000028708
Q006,How does Retrieval-Augmented Generation combine parametric memory with non-parametric retrieval memory?,P003,P003,P003,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.06662729999516159
Q007,Why is Sentence-BERT computationally faster than cross-encoder BERT for large-scale semantic similarity search and clustering?,P004,P004,"P004,P005",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07696910000231583
Q008,What pooling strategies does Sentence-BERT evaluate to derive fixed-size sentence embeddings from BERT?,P004,P004,P004,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.06812869999703253
Q009,How does Dense Passage Retrieval (DPR) use dual-encoders to score relevance between a question and candidate passages?,P005,P005,P005,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07556460000341758
Q010,What negative passage sampling strategies does DPR evaluate during dual-encoder training?,P005,P005,"P005,P003,P006",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.06510040000284789
Q011,What contrastive learning objective and data augmentation methods does Contriever use for unsupervised dense information retrieval?,P006,P006,P006,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07284870000148658
Q012,How does Low-Rank Adaptation (LoRA) decompose weight updates in transformer layers using low-rank matrices?,P007,P007,P007,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07265560000087135
Q013,What are the storage and inference latency advantages of LoRA compared to traditional full model fine-tuning?,P007,P007,"P007,P008",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07258160000492353
Q014,What is 4-bit NormalFloat (NF4) in QLoRA and why is it information-theoretically optimal for normally distributed weights?,P008,P008,P008,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.08082550000108313
Q015,How do Double Quantization and Paged Optimizers in QLoRA reduce GPU memory footprint during model fine-tuning?,P008,P008,P008,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07385340000473661
Q016,How does chain-of-thought prompting elicit multi-step reasoning capabilities in large language models on arithmetic tasks?,P009,P009,P009,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07690939999883994
Q017,What special reflection tokens does Self-RAG introduce to dynamically determine when to retrieve and critique output quality?,P010,P010,"P010,P012",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07482139999774517
Q018,How does Self-RAG assess whether retrieved passages are relevant using the ISREL reflection token?,P010,P010,"P010,P012",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0722656000070856
Q019,What is the U-shaped performance degradation observed in Lost in the Middle when relevant information is positioned in the center of long input contexts?,P011,P011,P011,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07935739999811631
Q020,"What are the key architectural differences between Naive RAG, Advanced RAG, and Modular RAG described in the RAG survey?",P012,P012,P012,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.07380189999821596
