question_id,question,expected_paper_ids,top_1_paper,retrieved_paper_ids,hit_at_3,hit_at_5,hit_at_10,mrr,precision_at_3,recall_at_3,latency_seconds
Q001,What is the mathematical formula for Scaled Dot-Product Attention in the Transformer architecture?,P001,P001,"P001,P007,P002",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.010204299993347377
Q002,"How does the Transformer compute Multi-Head Attention, and what is the dimension of each head when using 8 heads with d_model=512?",P001,P001,"P001,P007,P009",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.016618199995718896
Q003,What are the two pre-training objectives used in BERT to learn bidirectional representations?,P002,P006,"P006,P002",1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.009306799998739734
Q004,"What percentage of tokens are masked in BERT's Masked Language Model (MLM), and how are the chosen tokens replaced?",P002,P002,"P002,P006,P009",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.014973899997130502
Q005,What is the difference between RAG-Sequence and RAG-Token models in the original Retrieval-Augmented Generation paper?,P003,P003,"P003,P002,P008,P004,P012",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.013175699998100754
Q006,How does Retrieval-Augmented Generation combine parametric memory with non-parametric retrieval memory?,P003,P003,P003,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.009577299999364186
Q007,Why is Sentence-BERT computationally faster than cross-encoder BERT for large-scale semantic similarity search and clustering?,P004,P004,"P004,P005,P012",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.01031459999649087
Q008,What pooling strategies does Sentence-BERT evaluate to derive fixed-size sentence embeddings from BERT?,P004,P004,P004,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.011421000002883375
Q009,How does Dense Passage Retrieval (DPR) use dual-encoders to score relevance between a question and candidate passages?,P005,P005,"P005,P006",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.013626700005261227
Q010,What negative passage sampling strategies does DPR evaluate during dual-encoder training?,P005,P005,P005,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.008750400003918912
Q011,What contrastive learning objective and data augmentation methods does Contriever use for unsupervised dense information retrieval?,P006,P006,P006,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.012236700000357814
Q012,How does Low-Rank Adaptation (LoRA) decompose weight updates in transformer layers using low-rank matrices?,P007,P007,P007,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.011562900006538257
Q013,What are the storage and inference latency advantages of LoRA compared to traditional full model fine-tuning?,P007,P007,P007,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0126518999968539
Q014,What is 4-bit NormalFloat (NF4) in QLoRA and why is it information-theoretically optimal for normally distributed weights?,P008,P008,P008,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.013447800003632437
Q015,How do Double Quantization and Paged Optimizers in QLoRA reduce GPU memory footprint during model fine-tuning?,P008,P008,P008,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.01134269999602111
Q016,How does chain-of-thought prompting elicit multi-step reasoning capabilities in large language models on arithmetic tasks?,P009,P009,P009,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.011350500004482456
Q017,What special reflection tokens does Self-RAG introduce to dynamically determine when to retrieve and critique output quality?,P010,P010,"P010,P012",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.012713599993730895
Q018,How does Self-RAG assess whether retrieved passages are relevant using the ISREL reflection token?,P010,P010,P010,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.009782799999811687
Q019,What is the U-shaped performance degradation observed in Lost in the Middle when relevant information is positioned in the center of long input contexts?,P011,P011,"P011,P012",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.02335799999855226
Q020,"What are the key architectural differences between Naive RAG, Advanced RAG, and Modular RAG described in the RAG survey?",P012,P012,P012,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.013275199999043252
