question_id,question,retriever_type,top_k,hit_at_3,hit_at_5,hit_at_10,precision_at_3,recall_at_3,mrr,latency_seconds,expected_paper_ids,top_1_paper_id,top_1_chunk_id
Q001,What is the mathematical formula for Scaled Dot-Product Attention in the Transformer architecture?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.4384141000045929,P001,P007,P007_p25_c0
Q002,"How does the Transformer compute Multi-Head Attention, and what is the dimension of each head when using 8 heads with d_model=512?",Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.14866130000154953,P001,P001,P001_p5_c0
Q003,What are the two pre-training objectives used in BERT to learn bidirectional representations?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.12595880000299076,P002,P002,P002_p4_c2
Q004,"What percentage of tokens are masked in BERT's Masked Language Model (MLM), and how are the chosen tokens replaced?",Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.14365379999799188,P002,P002,P002_p16_c1
Q005,What is the difference between RAG-Sequence and RAG-Token models in the original Retrieval-Augmented Generation paper?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.13165289999597007,P003,P012,P012_p10_c1
Q006,How does Retrieval-Augmented Generation combine parametric memory with non-parametric retrieval memory?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.125709599997208,P003,P003,P003_p6_c4
Q007,Why is Sentence-BERT computationally faster than cross-encoder BERT for large-scale semantic similarity search and clustering?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.13651609999942593,P004,P004,P004_p1_c0
Q008,What pooling strategies does Sentence-BERT evaluate to derive fixed-size sentence embeddings from BERT?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.12935660000221105,P004,P004,P004_p2_c3
Q009,How does Dense Passage Retrieval (DPR) use dual-encoders to score relevance between a question and candidate passages?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.13575940000009723,P005,P005,P005_p5_c1
Q010,What negative passage sampling strategies does DPR evaluate during dual-encoder training?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.11945710000145482,P005,P005,P005_p5_c1
Q011,What contrastive learning objective and data augmentation methods does Contriever use for unsupervised dense information retrieval?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.1326658999969368,P006,P006,P006_p1_c0
Q012,How does Low-Rank Adaptation (LoRA) decompose weight updates in transformer layers using low-rank matrices?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.13789009999891277,P007,P007,P007_p2_c2
Q013,What are the storage and inference latency advantages of LoRA compared to traditional full model fine-tuning?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.12897569999768166,P007,P008,P008_p22_c0
Q014,What is 4-bit NormalFloat (NF4) in QLoRA and why is it information-theoretically optimal for normally distributed weights?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.1559564000053797,P008,P008,P008_p4_c2
Q015,How do Double Quantization and Paged Optimizers in QLoRA reduce GPU memory footprint during model fine-tuning?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.1330134999952861,P008,P008,P008_p5_c2
Q016,How does chain-of-thought prompting elicit multi-step reasoning capabilities in large language models on arithmetic tasks?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.13734329999715555,P009,P009,P009_p1_c0
Q017,What special reflection tokens does Self-RAG introduce to dynamically determine when to retrieve and critique output quality?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.13573639999958687,P010,P010,P010_p1_c4
Q018,How does Self-RAG assess whether retrieved passages are relevant using the ISREL reflection token?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.12471949999599019,P010,P010,P010_p4_c2
Q019,What is the U-shaped performance degradation observed in Lost in the Middle when relevant information is positioned in the center of long input contexts?,Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.14130110000405693,P011,P011,P011_p7_c0
Q020,"What are the key architectural differences between Naive RAG, Advanced RAG, and Modular RAG described in the RAG survey?",Dense-MPNet,10,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.1336016000059317,P012,P012,P012_p2_c3
