question_id,dataset_split,topic,question,expected_paper_ids,cited_paper_ids,citation_count,citation_correctness,insufficient_evidence,answer,latency_seconds,measured_latency_seconds,retrieval_strategy
Q001,dev,Transformers,What is the mathematical formula for Scaled Dot-Product Attention in the Transformer architecture?,P001,P001,3,correct,False,"The mathematical formula for Scaled Dot-Product Attention in the Transformer architecture is:

Attention(Q,K,V ) = softmax(QKT√dk )V (1)

where Q, K, and V are matrices of dimensions dmodel×dk, dmodel×dk, and dmodel×dv, respectively, and T is a transpose operation.",131.886,131.886,HybridRetriever
Q002,test,Transformers,"How does the Transformer compute Multi-Head Attention, and what is the dimension of each head when using 8 heads with d_model=512?",P001,P001,3,correct,False,"The Transformer computes Multi-Head Attention by first concatenating the outputs of h parallel attention layers, where h = 8, and then projecting the concatenated values using the parameter matrix W_O∈ Rhdv×dmodel.

The dimension of each head is d_model/h = 64, where d_model = 512.",103.21,103.21,HybridRetriever
Q003,dev,BERT / Language Models,What are the two pre-training objectives used in BERT to learn bidirectional representations?,P002,P002,3,correct,False,"The two pre-training objectives used in BERT to learn bidirectional representations are:

1. Masked Language Model (MLM) objective
2. Next Sentence Prediction (NSP) task

These objectives are mentioned in Passage 1, Passage 4, and Passage 9 as part of the pre-training procedure for BERT.",126.477,126.477,HybridRetriever
Q004,test,BERT / Language Models,"What percentage of tokens are masked in BERT's Masked Language Model (MLM), and how are the chosen tokens replaced?",P002,P002,3,correct,False,"What percentage of tokens are masked in BERT's Masked Language Model (MLM), and how are the chosen tokens replaced?

According to Passage 3, BERT masks 15% of all WordPiece tokens in each sequence at random. The masking procedure is as follows:

• 80% of the time: Replace the word with the [MASK] token.
• 10% of the time: Replace the word with a random word.
• 10% of the time: Keep the word unchanged.

Passage 6 provides an illustration of the masking procedure, showing how the 4th token in the sentence ""my dog is hairy"" is masked as follows:

• 80% of the time: Replace the word with the [MASK] token: ""my dog is [MASK]"".
• 10% of the time: Replace the word with a random word: ""my dog is apple"".
• 10% of the time: Keep the word unchanged: ""my dog is hairy"".",179.279,179.279,HybridRetriever
Q005,dev,Retrieval-Augmented Generation,What is the difference between RAG-Sequence and RAG-Token models in the original Retrieval-Augmented Generation paper?,P003,P003;P012,3,correct,False,"RAG-Sequence and RAG-Token models differ in how they generate text based on retrieved documents.

Passage 5 supports this answer, stating that RAG-Sequence uses the same document to predict each target token, while RAG-Token can predict each target token based on a different document.

Passage 5 also explains the training and decoding procedure for both models, further highlighting the difference between them.

There is no mention of a difference in the way the models are trained or fine-tuned, so the difference between the models is primarily in how they generate text based on retrieved documents.",167.544,167.544,HybridRetriever
Q006,test,Retrieval-Augmented Generation,How does Retrieval-Augmented Generation combine parametric memory with non-parametric retrieval memory?,P003,P003,3,correct,False,"Retrieval-Augmented Generation combines parametric memory with non-parametric retrieval memory by using a pre-trained seq2seq model as the parametric memory and a dense vector index of Wikipedia as the non-parametric memory, accessed with a pre-trained neural retriever.

Passage 4 supports this answer, stating that the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever.

Passage 8 also supports this answer, describing how the retriever provides latent documents conditioned on the input, and the seq2seq model conditions on these latent documents together with the input to generate the output.

Passage 6 supports this answer, stating that the ability to access knowledge is present without additional training, as both the parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge.

Passage 9 supports this answer, stating that the authors explore a setting where both parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge.",172.69,172.69,HybridRetriever
Q007,dev,Sentence Embeddings,Why is Sentence-BERT computationally faster than cross-encoder BERT for large-scale semantic similarity search and clustering?,P004,P004,3,correct,False,"Sentence-BERT is computationally faster than cross-encoder BERT for large-scale semantic similarity search and clustering because SBERT uses a siamese network architecture that enables the derivation of fixed-sized sentence embeddings, which can be compared using cosine-similarity. This reduces the effort for finding the most similar pair from 65 hours with BERT to about 5 seconds with SBERT.

Passages 3, 5, and 7 support this answer. Specifically, Passage 3 states that SBERT derives semantically meaningful sentence embeddings that can be compared using cosine-similarity, which reduces the computational overhead. Passage 5 explains that SBERT uses a siamese network structure and fine-tuning mechanism to improve the correlation between the cosine-similarity of the sentence embeddings and the gold labels. Passage 7 shows that SBERT outperforms other state-of-the-art sentence embedding methods, including cross-encoder BERT, in terms of computational efficiency and accuracy.",176.679,176.679,HybridRetriever
Q008,test,Sentence Embeddings,What pooling strategies does Sentence-BERT evaluate to derive fixed-size sentence embeddings from BERT?,P004,P004,3,correct,False,"Sentence-BERT evaluates three pooling strategies to derive fixed-size sentence embeddings from BERT: 

1. Using the output of the CLS-token
2. Computing the mean of all output vectors (MEAN-strategy)
3. Computing a max-over-time of the output vectors (MAX-strategy)",128.178,128.178,HybridRetriever
Q009,dev,Dense Retrieval,How does Dense Passage Retrieval (DPR) use dual-encoders to score relevance between a question and candidate passages?,P005,P005,3,correct,False,"Dense Passage Retrieval (DPR) uses dual-encoders to score relevance between a question and candidate passages. Specifically, DPR uses a dual-encoder framework that consists of two encoders: a question encoder (EQ) and a passage encoder (EP). The question encoder maps the input question to a d-dimensional vector, and the passage encoder maps any text passage to a d-dimensional real-valued vector.

The similarity between the question and the passage is defined using the dot product of their vectors: sim(q,p) = EQ(q)⊺EP(p). This similarity function is used to retrieve the top-k passages that are most relevant to the input question.

Passage 7 supports this answer, as it defines the similarity function used by DPR: sim(q,p) = EQ(q)⊺EP(p). Passage 8 also supports this answer, as it states that the embedding is optimized for maximizing inner products of the question and relevant passage vectors, with an objective comparing all pairs of questions and passages in a batch.

Passage 6 mentions that the DPR model used in the main experiments is trained using the in-batch negative setting, but it does not explicitly describe the dual-encoder framework. However, it does mention that the question and passage encoders are trained for up to 40 epochs for large datasets and 100 epochs for small datasets, which suggests that the dual-encoder framework is used to train the model.

Passage 9 mentions that the top block in Table 3 is the standard 1-of-N training setting, but it does not explicitly describe the dual-encoder framework. However, it does mention that the choice of training scheme has a significant impact on the retrieval accuracy, which suggests that the dual-encoder framework is an important aspect of the DPR model.

Therefore, while not all passages explicitly describe the dual-encoder framework, they do provide evidence that DPR uses a dual-encoder framework to score relevance between a question and candidate passages.",231.3,231.3,HybridRetriever
Q010,test,Dense Retrieval,What negative passage sampling strategies does DPR evaluate during dual-encoder training?,P005,P005,3,correct,False,"DPR evaluates the following negative passage sampling strategies during dual-encoder training:

1. Random: any random passage from the corpus.
2. BM25: top passages returned by BM25 which don’t contain the answer but match most question tokens.
3. Gold passages: positive passages from other questions.

Passage 5 supports this answer.",136.883,136.883,HybridRetriever
Q011,dev,Unsupervised Dense Retrieval,What contrastive learning objective and data augmentation methods does Contriever use for unsupervised dense information retrieval?,P006,P006,3,correct,False,"Contriever uses the MoCo algorithm with a queue of size 131,072, a momentum value of 0.9995, and a temperature of 0.05 for contrastive pre-training. Additionally, Contriever applies random cropping data augmentation, with documents of 256 tokens and span sizes sampled between 5% and 50% of the document length.",148.601,148.601,HybridRetriever
