paper_id,title,authors,year,topic,source_url,pdf_url,local_filename
P001,Attention Is All You Need,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",2017,Transformers,https://arxiv.org/abs/1706.03762,https://arxiv.org/pdf/1706.03762.pdf,P001_attention_is_all_you_need.pdf
P002,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova",2018,BERT / Language Models,https://arxiv.org/abs/1810.04805,https://arxiv.org/pdf/1810.04805.pdf,P002_bert.pdf
P003,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Patrick Lewis, Ethan Perez, Aleksandra Piktus, Fabio Petroni, Vladimir Karpukhin, Naman Goyal, Heinrich Küttler, Mike Lewis, Wen-tau Yih, Tim Rocktäschel, Sebastian Riedel, Douwe Kiela",2020,Retrieval-Augmented Generation,https://arxiv.org/abs/2005.11401,https://arxiv.org/pdf/2005.11401.pdf,P003_retrieval_augmented_generation.pdf
P004,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,"Nils Reimers, Iryna Gurevych",2019,Sentence Embeddings,https://arxiv.org/abs/1908.10084,https://arxiv.org/pdf/1908.10084.pdf,P004_sentence_bert.pdf
P005,Dense Passage Retrieval for Open-Domain Question Answering,"Vladimir Karpukhin, Barlas Oğuz, Sewon Min, Patrick Lewis, Ledell Wu, Sergey Edunov, Danqi Chen, Wen-tau Yih",2020,Dense Retrieval,https://arxiv.org/abs/2004.04906,https://arxiv.org/pdf/2004.04906.pdf,P005_dense_passage_retrieval.pdf
P006,Unsupervised Dense Information Retrieval with Contrastive Learning,"Gautier Izacard, Mathilde Caron, Lucas Hosseini, Sebastian Riedel, Piotr Bojanowski, Armand Joulin, Edouard Grave",2021,Unsupervised Dense Retrieval,https://arxiv.org/abs/2112.09118,https://arxiv.org/pdf/2112.09118.pdf,P006_contriever.pdf
P007,LoRA: Low-Rank Adaptation of Large Language Models,"Edward J. Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Lu Wang, Weizhu Chen",2021,Efficient LLMs / PEFT,https://arxiv.org/abs/2106.09685,https://arxiv.org/pdf/2106.09685.pdf,P007_lora.pdf
P008,QLoRA: Efficient Finetuning of Quantized LLMs,"Tim Dettmers, Artidoro Pagnoni, Ari Holtzman, Luke Zettlemoyer",2023,Efficient LLMs / Quantization,https://arxiv.org/abs/2305.14314,https://arxiv.org/pdf/2305.14314.pdf,P008_qlora.pdf
P009,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"Jason Wei, Xuezhi Wang, Dale Schuurmans, Maarten Bosma, Brian Ichter, Fei Xia, Ed Chi, Quoc Le, Denny Zhou",2022,Prompt Engineering & Reasoning,https://arxiv.org/abs/2201.11903,https://arxiv.org/pdf/2201.11903.pdf,P009_chain_of_thought.pdf
P010,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection","Akari Asai, Zeqiu Wu, Yizhong Wang, Avirup Sil, Hannaneh Hajishirzi",2023,Advanced RAG / Self-Reflection,https://arxiv.org/abs/2310.11511,https://arxiv.org/pdf/2310.11511.pdf,P010_self_rag.pdf
P011,Lost in the Middle: How Language Models Use Long Contexts,"Nelson F. Liu, Kevin Lin, John Hewitt, Ashwin Paranjape, Michele Bevilacqua, Fabio Petroni, Percy Liang",2023,Context Windows / RAG Limitations,https://arxiv.org/abs/2307.03172,https://arxiv.org/pdf/2307.03172.pdf,P011_lost_in_the_middle.pdf
P012,Retrieval-Augmented Generation for Large Language Models: A Survey,"Yunfan Gao, Yun Xiong, Xinyu Gao, Kangxiang Jia, Jinliu Pan, Yuxi Bi, Yi Dai, Jiawei Sun, Meng Wang, Haofen Wang",2023,RAG Survey,https://arxiv.org/abs/2312.10997,https://arxiv.org/pdf/2312.10997.pdf,P012_rag_survey.pdf
